
      	X(nS)     	Ch1(mV)      	Ch2(mV)      	Ch3(mV)      	Ch4(mV)      
 86   	4.9853    	-82.733757  	-5.837219   	-21.239624  	494.062500  
 87   	5.0440    	-83.236877  	-6.353271   	-21.713867  	220.687500  
 88   	5.1026    	-82.518127  	-6.869263   	-21.917114  	218.937500  
 89   	5.1613    	-82.590027  	-6.482239   	-21.375122  	491.812500  
 90   	5.2199    	-82.015007  	-6.546753   	-21.036377  	537.062500  
 91   	5.2786    	-82.230652  	-5.901733   	-20.968628  	271.937500  
 92   	5.3372    	-82.158752  	-6.095276   	-20.765381  	194.187500  
 93   	5.3959    	-81.871277  	-6.482239   	-20.562134  	441.812500  
 94   	5.4545    	-82.230652  	-6.224243   	-20.358887  	553.312500  
 95   	5.5132    	-82.230652  	-5.966248   	-20.358887  	330.937500  
 96   	5.5718    	-82.590027  	-5.579224   	-20.765381  	153.187500  
 97   	5.6305    	-82.805656  	-5.256775   	-21.442871  	357.687500  
 98   	5.6891    	-82.805656  	-6.224243   	-21.036377  	562.812500  
 99   	5.7478    	-82.733757  	-6.611267   	-22.052612  	409.437500  
 100  	5.8065    	-82.877502  	-6.159729   	-21.104126  	176.562500  
 101  	5.8651    	-83.021233  	-6.288757   	-21.781616  	297.062500  
 102  	5.9238    	-83.596245  	-6.417725   	-21.171875  	541.062500  
 103  	5.9824    	-83.739983  	-6.869263   	-20.833130  	462.562500  
 104  	6.0411    	-83.308769  	-6.675720   	-21.239624  	199.812500  
 105  	6.0997    	-83.596245  	-6.675720   	-21.104126  	239.937500  
 106  	6.1584    	-84.602539  	-6.288757   	-21.375122  	503.812500  
 107  	6.2170    	-83.668144  	-6.095276   	-21.239624  	520.937500  
 108  	6.2757    	-83.596245  	-5.643738   	-20.765381  	261.812500  
 109  	6.3343    	-83.093132  	-6.030762   	-21.104126  	200.562500  
 110  	6.3930    	-82.518127  	-6.353271   	-21.510620  	443.687500  
 111  	6.4516    	-82.805656  	-6.288757   	-21.171875  	552.312500  
 112  	6.5103    	-83.093132  	-6.417725   	-21.442871  	297.812500  
 113  	6.5689    	-82.302483  	-5.966248   	-21.781616  	163.812500  
 114  	6.6276    	-82.661858  	-5.063232   	-20.833130  	382.312500  
 115  	6.6862    	-83.380608  	-5.385742   	-21.375122  	566.937500  
 116  	6.7449    	-83.452507  	-5.966248   	-21.578369  	380.562500  
 117  	6.8035    	-82.518127  	-6.417725   	-21.849365  	167.562500  
 118  	6.8622    	-81.871277  	-5.901733   	-21.510620  	321.187500  
 119  	6.9208    	-82.374382  	-6.030762   	-21.578369  	560.187500  
 120  	6.9795    	-82.733757  	-6.482239   	-21.375122  	442.062500  
 121  	7.0381    	-82.877502  	-6.095276   	-20.223389  	185.062500  
 122  	7.0968    	-83.093132  	-5.708252   	-20.291138  	265.937500  
 123  	7.1554    	-82.590027  	-6.030762   	-20.291138  	522.562500  
 124  	7.2141    	-81.799370  	-6.030762   	-19.884644  	503.187500  
 125  	7.2727    	-81.871277  	-6.224243   	-20.426636  	231.562500  
 126  	7.3314    	-82.086906  	-6.417725   	-20.223389  	202.687500  
 127  	7.3900    	-82.158752  	-6.546753   	-20.562134  	486.437500  
 128  	7.4487    	-82.230652  	-6.417725   	-20.765381  	533.687500  
 129  	7.5073    	-81.943108  	-5.579224   	-20.697632  	282.812500  
 130  	7.5660    	-81.439995  	-5.966248   	-20.765381  	167.937500  
 131  	7.6246    	-80.433769  	-5.837219   	-20.562134  	426.562500  
 132  	7.6833    	-79.140007  	-4.934265   	-20.968628  	553.062500  
 133  	7.7419    	-77.486877  	-4.805237   	-20.900879  	341.187500  
 134  	7.8006    	-76.336906  	-4.805237   	-20.968628  	164.937500  
 135  	7.8592    	-73.821281  	-4.869751   	-20.900879  	341.312500  
 136  	7.9179    	-72.743156  	-5.579224   	-21.307373  	562.812500  
 137  	7.9765    	-71.521240  	-6.030762   	-20.968628  	393.562500  
 138  	8.0352    	-71.377495  	-5.514771   	-20.900879  	-48.687500  
 139  	8.0938    	-70.946289  	-5.643738   	-20.900879  	-2.562500   
 140  	8.1525    	-63.758785  	-5.643738   	-21.104126  	286.312500  
 141  	8.2111    	-34.074402  	-5.966248   	-20.562134  	543.812500  
 142  	8.2698    	-12.727539  	-6.159729   	-19.952393  	319.687500  
 143  	8.3284    	3.300659    	-6.224243   	-19.884644  	147.062500  
 144  	8.3871    	15.375609   	-5.772766   	-19.478149  	323.937500  
 145  	8.4457    	23.785032   	-6.159729   	-19.681396  	557.062500  
 146  	8.5044    	30.756834   	-6.417725   	-20.223389  	426.562500  
 147  	8.5630    	36.291256   	-6.933777   	-21.307373  	191.062500  
 148  	8.6217    	39.094357   	-6.159729   	-20.358887  	143.312500  
 149  	8.6804    	41.466183   	-6.869263   	-21.036377  	450.562500  
 150  	8.7390    	44.197506   	-6.095276   	-21.307373  	584.687500  
 151  	8.7977    	46.497433   	-6.675720   	-20.833130  	296.437500  
 152  	8.8563    	48.222530   	-6.546753   	-21.442871  	116.062500  
 153  	8.9150    	49.947506   	-6.030762   	-22.120361  	375.937500  
 154  	8.9736    	50.234982   	-5.901733   	-22.052612  	612.812500  
 155  	9.0323    	51.241207   	-6.288757   	-21.578369  	385.312500  
 156  	9.0909    	52.966183   	-6.611267   	-20.968628  	116.312500  
 157  	9.1496    	53.325558   	-6.998230   	-21.036377  	302.687500  
 158  	9.2082    	53.325558   	-6.998230   	-20.833130  	600.187500  
 159  	9.2669    	53.900635   	-6.546753   	-20.900879  	471.062500  
 160  	9.3255    	53.828732   	-6.482239   	-20.426636  	152.187500  
 161  	9.3842    	53.828732   	-5.708252   	-20.629883  	249.062500  
 162  	9.4428    	56.416256   	-6.482239   	-20.426636  	572.062500  
 163  	9.5015    	57.278683   	-6.095276   	-20.291138  	541.062500  
 164  	9.5601    	57.278683   	-5.708252   	-20.020142  	186.687500  
 165  	9.6188    	56.919308   	-5.643738   	-20.223389  	167.562500  
 166  	9.6774    	57.925655   	-5.450256   	-20.087891  	496.062500  
 167  	9.7361    	57.925655   	-5.385742   	-20.697632  	585.812500  
 168  	9.7947    	57.925655   	-5.063232   	-20.223389  	276.062500  
 169  	9.8534    	58.069332   	-5.192261   	-19.952393  	129.562500  
 170  	9.9120    	58.213131   	-5.450256   	-20.358887  	419.437500  
 171  	9.9707    	58.716183   	-5.127747   	-21.239624  	605.312500  
 172  	10.0293   	58.141232   	-5.256775   	-20.697632  	351.312500  
 173  	10.0880   	57.853756   	-5.450256   	-21.239624  	114.937500  
 174  	10.1466   	57.925655   	-5.643738   	-21.307373  	340.312500  
 175  	10.2053   	58.428707   	-5.772766   	-20.426636  	614.937500  
 176  	10.2639   	59.003784   	-5.772766   	-20.426636  	441.437500  
 177  	10.3226   	58.356808   	-5.772766   	-21.307373  	140.437500  
 178  	10.3812   	57.638058   	-5.450256   	-21.510620  	264.812500  
 179  	10.4399   	57.997433   	-5.450256   	-21.646118  	581.437500  
 180  	10.4985   	57.853756   	-5.579224   	-21.781616  	509.562500  
 181  	10.5572   	58.213131   	-6.417725   	-20.562134  	167.312500  
 182  	10.6158   	59.075558   	-6.353271   	-21.104126  	188.187500  
 183  	10.6745   	58.788082   	-6.546753   	-21.375122  	526.187500  
 184  	10.7331   	58.141232   	-5.837219   	-21.036377  	564.937500  
 185  	10.7918   	58.285034   	-6.417725   	-21.171875  	231.937500  
 186  	10.8504   	58.069332   	-6.482239   	-21.239624  	145.312500  
 187  	10.9091   	59.075558   	-6.159729   	-21.578369  	462.687500  
 188  	10.9677   	58.572506   	-6.224243   	-21.171875  	612.312500  
 189  	11.0264   	58.716183   	-6.095276   	-21.307373  	321.312500  
 190  	11.0850   	59.291260   	-5.321228   	-20.358887  	128.062500  
 191  	11.1437   	59.506836   	-5.321228   	-21.104126  	371.312500  
 192  	11.2023   	58.572506   	-5.385742   	-21.036377  	616.562500  
 193  	11.2610   	57.925655   	-5.579224   	-20.494385  	402.812500  
 194  	11.3196   	58.356808   	-4.934265   	-20.765381  	112.187500  
 195  	11.3783   	58.572506   	-5.127747   	-21.104126  	282.937500  
 196  	11.4370   	58.931885   	-5.643738   	-21.239624  	590.687500  
 197  	11.4956   	58.931885   	-5.966248   	-21.375122  	468.437500  
 198  	11.5543   	59.938110   	-6.030762   	-21.781616  	148.562500  
 199  	11.6129   	60.584953   	-5.966248   	-21.104126  	213.812500  
 200  	11.6716   	60.369377   	-5.063232   	-21.442871  	545.812500  
 201  	11.7302   	60.081902   	-5.772766   	-21.781616  	535.687500  
 202  	11.7889   	60.225586   	-6.030762   	-22.188110  	194.062500  
 203  	11.8475   	60.369377   	-5.966248   	-21.781616  	149.437500  
 204  	11.9062   	60.513062   	-5.901733   	-21.171875  	483.812500  
 205  	11.9648   	60.225586   	-6.159729   	-20.765381  	592.937500  
 206  	12.0235   	59.434933   	-6.804749   	-20.494385  	-0.812500   
 207  	12.0821   	60.800655   	-6.288757   	-21.239624  	-14.187500  
 208  	12.1408   	60.297478   	-5.837219   	-21.984863  	124.687500  
 209  	12.1994   	59.722527   	-6.675720   	-21.984863  	465.812500  
 210  	12.2581   	60.513062   	-5.514771   	-21.239624  	511.062500  
 211  	12.3167   	60.225586   	-5.321228   	-21.307373  	200.187500  
 212  	12.3754   	59.434933   	-4.869751   	-21.510620  	148.062500  
 213  	12.4340   	61.231804   	-5.579224   	-20.968628  	474.562500  
 214  	12.4927   	60.800655   	-5.772766   	-21.104126  	596.937500  
 215  	12.5513   	60.081902   	-5.966248   	-20.629883  	292.812500  
 216  	12.6100   	60.656853   	-5.772766   	-21.036377  	113.312500  
 217  	12.6686   	59.866211   	-5.837219   	-21.171875  	387.812500  
 218  	12.7273   	59.722527   	-6.030762   	-21.171875  	607.187500  
 219  	12.7859   	58.428707   	-5.772766   	-21.307373  	367.312500  
 220  	12.8446   	59.219360   	-6.095276   	-21.375122  	114.437500  
 221  	12.9032   	58.428707   	-6.482239   	-20.494385  	307.937500  
 222  	12.9619   	58.285034   	-5.643738   	-21.171875  	597.687500  
 223  	13.0205   	58.788082   	-5.450256   	-21.578369  	455.937500  
 224  	13.0792   	59.866211   	-5.579224   	-21.171875  	139.812500  
 225  	13.1378   	60.656853   	-5.643738   	-20.087891  	226.562500  
 226  	13.1965   	61.160030   	-4.740723   	-20.155640  	563.437500  
 227  	13.2551   	60.441280   	-5.256775   	-20.765381  	534.062500  
 228  	13.3138   	59.578735   	-5.385742   	-21.171875  	194.937500  
 229  	13.3724   	59.578735   	-5.966248   	-20.900879  	186.812500  
 230  	13.4311   	59.794312   	-5.837219   	-21.036377  	507.937500  
 231  	13.4897   	60.081902   	-5.127747   	-20.494385  	576.437500  
 232  	13.5484   	60.369377   	-4.353760   	-21.104126  	249.312500  
 233  	13.6070   	60.153687   	-5.450256   	-21.917114  	120.687500  
 234  	13.6657   	59.722527   	-6.159729   	-21.510620  	422.187500  
 235  	13.7243   	59.794312   	-5.966248   	-22.120361  	604.062500  
 236  	13.7830   	60.010002   	-5.966248   	-21.849365  	336.937500  
 237  	13.8416   	59.291260   	-6.095276   	-21.646118  	114.187500  
 238  	13.9003   	59.363159   	-5.063232   	-21.781616  	347.812500  
 239  	13.9589   	59.003784   	-5.643738   	-21.171875  	614.812500  
 240  	14.0176   	59.434933   	-5.772766   	-21.239624  	423.187500  
 241  	14.0762   	59.291260   	-5.579224   	-21.578369  	124.937500  
 242  	14.1349   	60.081902   	-5.321228   	-21.307373  	263.562500  
 243  	14.1935   	59.866211   	-5.450256   	-21.104126  	584.562500  
 244  	14.2522   	59.938110   	-5.772766   	-21.036377  	508.437500  
 245  	14.3109   	60.225586   	-5.579224   	-21.713867  	176.312500  
 246  	14.3695   	60.441280   	-6.095276   	-21.239624  	190.312500  
 247  	14.4282   	60.944328   	-5.321228   	-21.375122  	522.062500  
 248  	14.4868   	61.160030   	-5.385742   	-21.578369  	562.562500  
 249  	14.5455   	60.944328   	-5.837219   	-22.120361  	235.062500  
 250  	14.6041   	59.866211   	-6.224243   	-21.781616  	148.562500  
 251  	14.6628   	60.153687   	-5.837219   	-21.510620  	462.437500  
 252  	14.7214   	59.147457   	-6.288757   	-21.307373  	598.312500  
 253  	14.7801   	59.938110   	-5.837219   	-20.968628  	309.062500  
 254  	14.8387   	59.291260   	-5.450256   	-22.323608  	114.437500  
 255  	14.8974   	59.003784   	-5.192261   	-21.849365  	370.062500  
 256  	14.9560   	58.859982   	-4.998779   	-21.578369  	612.812500  
 257  	15.0147   	59.075558   	-5.450256   	-21.917114  	399.187500  
 258  	15.0733   	58.788082   	-5.514771   	-21.104126  	127.812500  
 259  	15.1320   	58.931885   	-6.030762   	-21.375122  	314.812500  
 260  	15.1906   	58.788082   	-5.579224   	-20.833130  	600.687500  
 261  	15.2493   	57.566280   	-5.772766   	-20.968628  	469.187500  
 262  	15.3079   	56.488155   	-5.966248   	-20.900879  	150.812500  
 263  	15.3666   	56.919308   	-5.514771   	-21.239624  	226.437500  
 264  	15.4252   	56.272453   	-5.127747   	-20.968628  	554.812500  
 265  	15.4839   	57.063107   	-4.998779   	-21.239624  	539.687500  
 266  	15.5425   	56.631832   	-5.514771   	-20.358887  	202.187500  
 267  	15.6012   	56.631832   	-6.224243   	-20.494385  	161.687500  
 268  	15.6598   	56.128780   	-5.901733   	-20.968628  	496.062500  
 269  	15.7185   	55.769405   	-6.417725   	-20.900879  	590.062500  
 270  	15.7771   	55.481812   	-6.482239   	-20.291138  	268.062500  
 271  	15.8358   	55.410027   	-6.546753   	-20.833130  	120.687500  
 272  	15.8944   	55.338127   	-5.579224   	-20.968628  	416.812500  
 273  	15.9531   	55.481812   	-5.579224   	-21.036377  	610.562500  
 274  	16.0117   	55.481812   	-6.482239   	-20.968628  	90.437500   
 275  	16.0704   	55.913078   	-5.772766   	-21.442871  	54.187500   
 276  	16.1290   	55.553711   	-5.966248   	-21.307373  	92.937500   
 277  	16.1877   	54.834957   	-5.514771   	-21.375122  	416.562500  
 278  	16.2463   	54.619381   	-5.063232   	-21.510620  	560.562500  
 279  	16.3050   	55.553711   	-5.063232   	-21.239624  	197.187500  
 280  	16.3636   	55.122437   	-5.579224   	-21.104126  	182.437500  
 281  	16.4223   	55.697502   	-6.030762   	-20.968628  	468.187500  
 282  	16.4809   	55.769405   	-6.159729   	-20.562134  	566.812500  
 283  	16.5396   	55.841187   	-6.159729   	-21.104126  	308.187500  
 284  	16.5982   	56.559929   	-5.901733   	-20.697632  	137.812500  
 285  	16.6569   	55.769405   	-6.417725   	-20.358887  	392.937500  
 286  	16.7155   	54.834957   	-5.643738   	-21.442871  	581.812500  
 287  	16.7742   	55.122437   	-6.159729   	-21.849365  	363.312500  
 288  	16.8328   	56.344357   	-5.643738   	-21.578369  	144.812500  
 289  	16.8915   	55.481812   	-4.611755   	-21.442871  	319.312500  
 290  	16.9501   	55.913078   	-4.805237   	-20.765381  	573.187500  
 291  	17.0088   	55.194336   	-5.579224   	-21.442871  	444.312500  
 292  	17.0674   	55.194336   	-5.708252   	-21.375122  	156.812500  
 293  	17.1261   	55.984978   	-5.708252   	-21.104126  	240.312500  
 294  	17.1848   	56.056881   	-5.708252   	-20.900879  	539.812500  
 295  	17.2434   	56.344357   	-5.385742   	-20.494385  	499.437500  
 296  	17.3021   	57.063107   	-6.224243   	-20.900879  	205.562500  
 297  	17.3607   	57.206905   	-5.837219   	-20.697632  	199.687500  
 298  	17.4194   	57.638058   	-6.030762   	-21.036377  	499.562500  
 299  	17.4780   	57.853756   	-5.579224   	-22.052612  	554.812500  
 300  	17.5367   	57.278683   	-5.837219   	-22.120361  	259.687500  
 301  	17.5953   	57.135006   	-6.224243   	-21.442871  	154.437500  
