
      	X(nS)     	Ch1(mV)      	Ch2(mV)      	Ch3(mV)      	Ch4(mV)      
 381  	22.2874   	-33.786865  	-5.579224   	-20.494385  	215.687500  
 382  	22.3460   	-34.793148  	-5.837219   	-20.900879  	241.812500  
 383  	22.4047   	-36.661865  	-5.256775   	-20.629883  	511.062500  
 384  	22.4633   	-38.171265  	-5.063232   	-21.375122  	516.437500  
 385  	22.5220   	-39.968136  	-5.321228   	-21.307373  	256.562500  
 386  	22.5806   	-41.118160  	-5.901733   	-21.442871  	195.562500  
 387  	22.6393   	-42.196285  	-6.095276   	-21.036377  	451.812500  
 388  	22.6979   	-44.064999  	-6.546753   	-21.036377  	546.687500  
 389  	22.7566   	-44.208736  	-6.224243   	-21.307373  	312.937500  
 390  	22.8152   	-44.783749  	-6.288757   	-21.036377  	160.562500  
 391  	22.8739   	-46.436886  	-5.579224   	-21.239624  	378.687500  
 392  	22.9326   	-47.802486  	-5.901733   	-21.375122  	561.937500  
 393  	22.9912   	-48.880611  	-6.546753   	-21.646118  	374.687500  
 394  	23.0499   	-49.743164  	-5.772766   	-21.713867  	161.812500  
 395  	23.1085   	-51.108761  	-5.450256   	-21.171875  	317.937500  
 396  	23.1672   	-52.546265  	-5.708252   	-21.510620  	546.937500  
 397  	23.2258   	-53.121273  	-5.901733   	-21.307373  	447.687500  
 398  	23.2845   	-54.630611  	-5.772766   	-21.713867  	173.312500  
 399  	23.3431   	-57.146236  	-5.450256   	-21.307373  	268.687500  
 400  	23.4018   	-56.786861  	-5.708252   	-21.239624  	503.937500  
 401  	23.4604   	-58.224365  	-5.708252   	-20.697632  	506.437500  
 402  	23.5191   	-59.302483  	-5.579224   	-20.087891  	210.062500  
 403  	23.5777   	-60.452511  	-5.772766   	-20.900879  	214.062500  
 404  	23.6364   	-62.321289  	-5.385742   	-21.510620  	473.937500  
 405  	23.6950   	-63.399406  	-5.256775   	-21.375122  	540.312500  
 406  	23.7537   	-64.836906  	-5.192261   	-21.375122  	291.437500  
 407  	23.8123   	-66.274414  	-5.063232   	-21.646118  	168.312500  
 408  	23.8710   	-67.496277  	-4.934265   	-21.442871  	418.687500  
 409  	23.9296   	-68.358757  	-5.579224   	-21.171875  	556.312500  
 410  	23.9883   	-69.939995  	-5.192261   	-21.917114  	343.437500  
 411  	24.0469   	-70.802490  	-5.772766   	-21.713867  	-61.687500  
 412  	24.1056   	-71.161865  	-5.127747   	-21.781616  	41.062500   
 413  	24.1642   	-71.161865  	-4.998779   	-21.104126  	348.062500  
 414  	24.2229   	-70.730644  	-5.450256   	-22.120361  	491.062500  
 415  	24.2815   	-71.736870  	-4.998779   	-21.239624  	248.312500  
 416  	24.3402   	-73.102531  	-5.643738   	-20.833130  	149.562500  
 417  	24.3988   	-72.599358  	-5.772766   	-21.510620  	396.187500  
 418  	24.4575   	-72.455620  	-4.805237   	-22.052612  	554.437500  
 419  	24.5161   	-73.677483  	-4.740723   	-21.849365  	359.312500  
 420  	24.5748   	-73.318108  	-5.514771   	-21.171875  	159.312500  
 421  	24.6334   	-73.102531  	-5.579224   	-21.849365  	337.812500  
 422  	24.6921   	-73.965027  	-6.482239   	-20.697632  	553.562500  
 423  	24.7507   	-75.474365  	-7.062744   	-21.510620  	430.437500  
 424  	24.8094   	-75.977539  	-7.127258   	-21.781616  	164.812500  
 425  	24.8680   	-76.049370  	-6.869263   	-21.239624  	277.812500  
 426  	24.9267   	-76.983757  	-6.417725   	-21.375122  	535.437500  
 427  	24.9853   	-77.199402  	-5.708252   	-21.578369  	487.812500  
 428  	25.0440   	-77.774406  	-6.353271   	-21.646118  	232.812500  
 429  	25.1026   	-77.702507  	-6.417725   	-21.307373  	207.812500  
 430  	25.1613   	-76.840019  	-6.611267   	-20.562134  	482.687500  
 431  	25.2199   	-77.486877  	-6.353271   	-20.968628  	522.187500  
 432  	25.2786   	-78.349358  	-6.804749   	-20.968628  	261.562500  
 433  	25.3372   	-78.133781  	-6.482239   	-21.239624  	187.812500  
 434  	25.3959   	-78.061882  	-6.482239   	-21.104126  	429.062500  
 435  	25.4545   	-78.349358  	-6.288757   	-21.578369  	549.812500  
 436  	25.5132   	-77.918152  	-5.837219   	-20.900879  	320.687500  
 437  	25.5718   	-77.630608  	-5.901733   	-20.765381  	151.562500  
 438  	25.6305   	-78.277527  	-5.837219   	-21.239624  	349.437500  
 439  	25.6891   	-76.840019  	-5.901733   	-21.713867  	571.187500  
 440  	25.7478   	-77.199402  	-6.030762   	-21.307373  	398.187500  
 441  	25.8065   	-75.833740  	-5.901733   	-21.171875  	169.937500  
 442  	25.8651   	-74.827515  	-6.030762   	-21.442871  	303.562500  
 443  	25.9238   	-73.533752  	-6.095276   	-21.239624  	542.437500  
 444  	25.9824   	-72.527527  	-6.288757   	-21.510620  	488.062500  
 445  	26.0411   	-72.383781  	-6.740234   	-21.578369  	192.437500  
 446  	26.0997   	-70.658745  	-6.159729   	-22.052612  	244.562500  
 447  	26.1584   	-68.143127  	-6.869263   	-21.239624  	500.062500  
 448  	26.2170   	-55.061886  	-6.417725   	-20.562134  	520.562500  
 449  	26.2757   	-37.524410  	-6.095276   	-20.833130  	249.062500  
 450  	26.3343   	-21.208738  	-6.353271   	-20.833130  	195.687500  
 451  	26.3930   	-7.480590   	-6.998230   	-20.968628  	443.812500  
 452  	26.4516   	2.797485    	-7.385254   	-21.239624  	544.562500  
 453  	26.5103   	11.997437   	-6.417725   	-20.968628  	319.312500  
 454  	26.5689   	19.400633   	-6.224243   	-20.629883  	161.937500  
 455  	26.6276   	23.569334   	-6.675720   	-20.968628  	391.437500  
 456  	26.6862   	27.378782   	-6.353271   	-20.968628  	565.562500  
 457  	26.7449   	30.397459   	-6.159729   	-20.494385  	379.812500  
 458  	26.8035   	31.978758   	-6.288757   	-20.765381  	167.437500  
 459  	26.8622   	34.278687   	-6.224243   	-21.036377  	318.187500  
 460  	26.9208   	36.794312   	-5.772766   	-20.900879  	552.687500  
 461  	26.9795   	39.022457   	-5.385742   	-21.171875  	436.187500  
 462  	27.0381   	40.675655   	-6.095276   	-21.307373  	179.937500  
 463  	27.0968   	41.466183   	-5.901733   	-21.036377  	256.437500  
 464  	27.1554   	43.263062   	-5.450256   	-20.426636  	519.812500  
 465  	27.2141   	44.413082   	-5.385742   	-20.900879  	487.937500  
 466  	27.2727   	45.131836   	-5.385742   	-20.629883  	228.062500  
 467  	27.3314   	44.628784   	-5.385742   	-20.426636  	209.437500  
 468  	27.3900   	45.203735   	-5.321228   	-21.171875  	473.187500  
 469  	27.4487   	44.844360   	-5.063232   	-21.442871  	548.562500  
 470  	27.5073   	45.491211   	-4.547241   	-21.104126  	270.187500  
 471  	27.5660   	45.203735   	-5.063232   	-21.849365  	184.312500  
 472  	27.6246   	46.497433   	-5.966248   	-21.510620  	421.062500  
 473  	27.6833   	47.575558   	-5.901733   	-21.104126  	569.687500  
 474  	27.7419   	47.863155   	-5.837219   	-21.510620  	355.562500  
 475  	27.8006   	49.300655   	-5.579224   	-21.646118  	169.937500  
 476  	27.8592   	49.803711   	-5.837219   	-21.713867  	349.062500  
 477  	27.9179   	50.234982   	-6.030762   	-21.307373  	569.312500  
 478  	27.9765   	49.803711   	-5.579224   	-20.562134  	409.812500  
 479  	28.0352   	50.378780   	-6.224243   	-21.171875  	-47.937500  
 480  	28.0938   	49.731808   	-5.837219   	-21.442871  	18.187500   
 481  	28.1525   	50.019405   	-5.450256   	-21.442871  	284.437500  
 482  	28.2111   	50.666256   	-6.030762   	-21.646118  	498.812500  
 483  	28.2698   	50.666256   	-5.901733   	-20.968628  	303.187500  
 484  	28.3284   	51.169308   	-6.224243   	-20.629883  	136.562500  
 485  	28.3871   	50.881832   	-5.708252   	-20.900879  	323.062500  
 486  	28.4457   	51.816280   	-6.030762   	-20.426636  	552.187500  
 487  	28.5044   	52.535030   	-5.192261   	-21.171875  	552.812500  
 488  	28.5630   	52.606812   	-5.127747   	-21.442871  	180.687500  
 489  	28.6217   	52.966183   	-5.643738   	-21.104126  	145.562500  
 490  	28.6804   	54.691280   	-5.966248   	-20.426636  	463.187500  
 491  	28.7390   	54.834957   	-6.482239   	-20.765381  	586.312500  
 492  	28.7977   	55.266235   	-6.417725   	-20.629883  	291.062500  
 493  	28.8563   	56.703732   	-5.901733   	-21.239624  	119.187500  
 494  	28.9150   	56.991207   	-6.417725   	-21.171875  	387.687500  
 495  	28.9736   	57.638058   	-5.708252   	-21.781616  	611.562500  
 496  	29.0323   	60.584953   	-5.901733   	-21.984863  	381.687500  
 497  	29.0909   	73.234985   	-5.837219   	-21.510620  	116.062500  
 498  	29.1496   	81.500610   	-6.224243   	-20.900879  	299.937500  
 499  	29.2082   	86.244385   	-6.482239   	-20.833130  	599.437500  
 500  	29.2669   	87.178711   	-6.095276   	-20.765381  	466.437500  
 501  	29.3255   	84.878777   	-6.288757   	-20.765381  	150.187500  
 502  	29.3842   	82.866211   	-6.030762   	-20.291138  	236.312500  
 503  	29.4428   	80.063103   	-6.740234   	-20.697632  	565.562500  
 504  	29.5015   	77.619385   	-6.998230   	-21.036377  	535.312500  
 505  	29.5601   	74.456902   	-6.611267   	-21.171875  	190.687500  
 506  	29.6188   	71.653679   	-5.966248   	-20.968628  	163.312500  
 507  	29.6774   	70.288078   	-5.579224   	-21.239624  	489.937500  
 508  	29.7361   	68.850586   	-4.869751   	-21.713867  	575.687500  
 509  	29.7947   	66.694328   	-5.063232   	-21.442871  	270.937500  
 510  	29.8534   	65.256828   	-6.030762   	-21.578369  	129.687500  
 511  	29.9120   	63.819332   	-5.772766   	-20.968628  	411.187500  
 512  	29.9707   	63.603760   	-5.192261   	-19.681396  	610.562500  
 513  	30.0293   	63.316284   	-5.643738   	-19.749146  	350.312500  
 514  	30.0880   	62.094357   	-5.385742   	-20.358887  	116.312500  
 515  	30.1466   	62.381832   	-5.385742   	-20.494385  	337.937500  
 516  	30.2053   	62.813107   	-5.514771   	-20.697632  	608.437500  
 517  	30.2639   	61.088131   	-5.127747   	-21.036377  	437.187500  
 518  	30.3226   	60.656853   	-5.256775   	-21.171875  	132.812500  
 519  	30.3812   	59.506836   	-5.321228   	-21.713867  	253.937500  
 520  	30.4399   	59.506836   	-5.385742   	-21.849365  	574.062500  
 521  	30.4985   	58.500607   	-5.321228   	-22.797852  	506.312500  
 522  	30.5572   	57.853756   	-5.256775   	-21.781616  	166.687500  
 523  	30.6158   	59.219360   	-6.353271   	-21.036377  	179.187500  
 524  	30.6745   	59.938110   	-6.353271   	-21.239624  	524.187500  
 525  	30.7331   	60.010002   	-5.772766   	-21.171875  	571.562500  
 526  	30.7918   	60.656853   	-5.579224   	-20.968628  	231.062500  
 527  	30.8504   	59.722527   	-6.546753   	-21.171875  	140.187500  
 528  	30.9091   	58.428707   	-6.546753   	-20.833130  	463.062500  
 529  	30.9677   	58.859982   	-6.740234   	-20.358887  	608.312500  
 530  	31.0264   	58.500607   	-6.611267   	-20.900879  	324.437500  
 531  	31.0850   	57.997433   	-6.675720   	-21.578369  	119.437500  
 532  	31.1437   	58.141232   	-6.353271   	-21.442871  	365.812500  
 533  	31.2023   	57.638058   	-6.288757   	-21.171875  	614.437500  
 534  	31.2610   	57.781857   	-6.417725   	-21.239624  	411.812500  
 535  	31.3196   	57.278683   	-6.288757   	-20.494385  	128.687500  
 536  	31.3783   	58.644409   	-5.901733   	-20.697632  	282.687500  
 537  	31.4370   	58.069332   	-5.063232   	-20.697632  	602.062500  
 538  	31.4956   	57.278683   	-5.385742   	-20.426636  	483.312500  
 539  	31.5543   	57.135006   	-4.869751   	-20.629883  	154.687500  
 540  	31.6129   	56.631832   	-4.676270   	-20.968628  	221.437500  
 541  	31.6716   	56.416256   	-5.579224   	-20.629883  	557.062500  
 542  	31.7302   	57.350582   	-5.514771   	-21.036377  	545.812500  
 543  	31.7889   	56.488155   	-4.934265   	-20.765381  	199.062500  
 544  	31.8475   	56.200554   	-5.450256   	-20.562134  	154.312500  
 545  	31.9062   	56.056881   	-5.579224   	-20.426636  	489.187500  
 546  	31.9648   	55.553711   	-6.030762   	-20.765381  	597.187500  
 547  	32.0235   	56.056881   	-6.740234   	-20.629883  	-6.312500   
 548  	32.0821   	55.697502   	-6.417725   	-21.307373  	-6.687500   
 549  	32.1408   	55.697502   	-5.192261   	-21.104126  	125.062500  
 550  	32.1994   	55.769405   	-5.579224   	-20.765381  	461.187500  
 551  	32.2581   	56.128780   	-6.159729   	-20.291138  	507.812500  
 552  	32.3167   	55.697502   	-5.837219   	-21.171875  	197.687500  
 553  	32.3754   	56.200554   	-5.514771   	-21.375122  	141.562500  
 554  	32.4340   	55.050652   	-5.450256   	-21.104126  	470.687500  
 555  	32.4927   	55.194336   	-5.708252   	-21.307373  	593.437500  
 556  	32.5513   	55.122437   	-5.514771   	-21.375122  	292.312500  
 557  	32.6100   	54.403683   	-4.934265   	-20.697632  	118.312500  
 558  	32.6686   	54.475582   	-6.288757   	-20.087891  	390.687500  
 559  	32.7273   	54.978760   	-6.159729   	-20.223389  	612.687500  
 560  	32.7859   	54.834957   	-6.224243   	-20.223389  	367.687500  
 561  	32.8446   	54.260006   	-5.901733   	-20.900879  	116.437500  
 562  	32.9032   	55.410027   	-5.579224   	-21.104126  	314.937500  
 563  	32.9619   	54.691280   	-5.643738   	-20.697632  	601.312500  
 564  	33.0205   	54.906860   	-5.127747   	-21.036377  	461.437500  
 565  	33.0792   	54.978760   	-5.385742   	-20.155640  	142.562500  
 566  	33.1378   	53.684933   	-6.030762   	-20.358887  	235.562500  
 567  	33.1965   	53.469357   	-5.901733   	-20.697632  	560.562500  
 568  	33.2551   	53.038082   	-6.224243   	-20.494385  	524.812500  
 569  	33.3138   	53.038082   	-5.385742   	-20.358887  	190.562500  
 570  	33.3724   	52.894405   	-5.385742   	-20.426636  	181.812500  
 571  	33.4311   	52.391232   	-6.030762   	-20.223389  	509.062500  
 572  	33.4897   	52.894405   	-6.417725   	-19.613647  	569.437500  
 573  	33.5484   	52.822506   	-6.159729   	-19.342651  	250.562500  
 574  	33.6070   	52.966183   	-6.224243   	-19.816895  	117.812500  
 575  	33.6657   	52.031860   	-6.546753   	-19.749146  	416.562500  
 576  	33.7243   	52.103756   	-6.030762   	-19.613647  	601.562500  
 577  	33.7830   	51.528683   	-5.385742   	-20.562134  	338.187500  
 578  	33.8416   	52.103756   	-5.643738   	-20.629883  	116.062500  
 579  	33.9003   	51.959957   	-6.546753   	-20.697632  	339.937500  
 580  	33.9589   	52.247433   	-6.417725   	-20.358887  	608.062500  
 581  	34.0176   	51.959957   	-6.482239   	-20.562134  	420.312500  
 582  	34.0762   	51.744385   	-5.966248   	-20.833130  	128.312500  
 583  	34.1349   	51.816280   	-5.514771   	-21.646118  	263.562500  
 584  	34.1935   	52.247433   	-5.643738   	-21.104126  	583.687500  
 585  	34.2522   	52.175655   	-6.353271   	-21.104126  	506.437500  
 586  	34.3109   	51.744385   	-5.256775   	-21.036377  	169.312500  
 587  	34.3695   	51.169308   	-5.837219   	-20.494385  	185.812500  
 588  	34.4282   	51.456909   	-5.321228   	-20.426636  	519.187500  
 589  	34.4868   	51.241207   	-5.192261   	-21.510620  	564.562500  
 590  	34.5455   	51.528683   	-5.772766   	-21.171875  	228.562500  
 591  	34.6041   	51.385006   	-5.772766   	-21.307373  	134.937500  
 592  	34.6628   	51.744385   	-6.224243   	-20.900879  	454.937500  
 593  	34.7214   	51.456909   	-5.966248   	-20.494385  	600.187500  
 594  	34.7801   	52.031860   	-6.740234   	-20.426636  	306.812500  
 595  	34.8387   	51.456909   	-6.288757   	-19.952393  	116.687500  
 596  	34.8974   	51.888058   	-6.482239   	-20.562134  	385.062500  
 597  	34.9560   	51.313107   	-6.224243   	-20.494385  	616.437500  
 598  	35.0147   	50.738155   	-5.901733   	-20.087891  	401.062500  
 599  	35.0733   	50.953732   	-5.385742   	-20.494385  	125.687500  
 600  	35.1320   	49.875607   	-5.901733   	-20.562134  	305.562500  
 601  	35.1906   	50.881832   	-5.772766   	-20.629883  	599.187500  
 602  	35.2493   	50.953732   	-5.385742   	-20.765381  	474.687500  
 603  	35.3079   	50.738155   	-6.159729   	-20.223389  	160.437500  
 604  	35.3666   	50.594357   	-6.482239   	-20.358887  	232.562500  
 605  	35.4252   	51.528683   	-5.966248   	-20.291138  	562.062500  
 606  	35.4839   	51.600582   	-5.450256   	-20.223389  	543.687500  
 607  	35.5425   	51.025631   	-5.643738   	-19.884644  	212.062500  
 608  	35.6012   	51.744385   	-5.514771   	-19.749146  	167.187500  
 609  	35.6598   	52.319336   	-5.450256   	-20.087891  	493.687500  
 610  	35.7185   	51.816280   	-5.514771   	-20.426636  	590.687500  
 611  	35.7771   	52.175655   	-5.256775   	-21.036377  	273.062500  
 612  	35.8358   	51.672482   	-6.740234   	-21.713867  	126.937500  
 613  	35.8944   	52.606812   	-6.482239   	-21.171875  	407.062500  
 614  	35.9531   	52.606812   	-6.288757   	-21.442871  	607.437500  
 615  	36.0117   	51.456909   	-6.869263   	-20.833130  	75.687500   
 616  	36.0704   	51.528683   	-6.740234   	-20.291138  	51.437500   
 617  	36.1290   	51.313107   	-6.675720   	-20.223389  	92.312500   
 618  	36.1877   	51.528683   	-6.095276   	-20.426636  	415.562500  
 619  	36.2463   	51.241207   	-5.643738   	-20.020142  	492.187500  
 620  	36.3050   	51.385006   	-6.030762   	-20.426636  	197.937500  
 621  	36.3636   	50.378780   	-5.966248   	-21.307373  	166.937500  
 622  	36.4223   	50.522457   	-5.385742   	-21.104126  	460.312500  
 623  	36.4809   	51.169308   	-5.901733   	-21.036377  	567.312500  
 624  	36.5396   	50.809933   	-5.514771   	-20.900879  	298.437500  
 625  	36.5982   	51.528683   	-5.450256   	-20.765381  	147.062500  
 626  	36.6569   	50.594357   	-6.095276   	-20.562134  	384.437500  
 627  	36.7155   	50.522457   	-6.159729   	-20.494385  	584.937500  
 628  	36.7742   	50.234982   	-5.966248   	-20.697632  	369.062500  
 629  	36.8328   	49.444332   	-5.772766   	-20.291138  	142.062500  
 630  	36.8915   	49.300655   	-6.353271   	-21.036377  	327.437500  
 631  	36.9501   	49.013058   	-6.675720   	-20.697632  	575.187500  
 632  	37.0088   	48.294308   	-6.030762   	-20.155640  	435.937500  
 633  	37.0674   	46.856808   	-6.030762   	-20.358887  	153.937500  
 634  	37.1261   	45.994381   	-5.837219   	-21.713867  	252.437500  
 635  	37.1848   	43.981808   	-6.482239   	-21.578369  	544.562500  
 636  	37.2434   	43.910030   	-6.353271   	-21.713867  	517.312500  
 637  	37.3021   	43.191280   	-6.417725   	-21.375122  	198.687500  
 638  	37.3607   	43.622437   	-6.159729   	-21.239624  	202.562500  
 639  	37.4194   	42.041260   	-6.804749   	-21.442871  	495.812500  
 640  	37.4780   	40.891232   	-6.417725   	-21.510620  	558.187500  
 641  	37.5367   	39.813107   	-5.579224   	-20.494385  	274.062500  
 642  	37.5953   	39.238155   	-6.030762   	-20.629883  	154.937500  
 643  	37.6540   	38.088135   	-5.385742   	-20.765381  	440.062500  
 644  	37.7126   	37.081909   	-5.837219   	-20.968628  	578.812500  
 645  	37.7713   	36.434937   	-6.353271   	-21.510620  	342.937500  
 646  	37.8299   	35.428707   	-5.708252   	-21.849365  	142.812500  
 647  	37.8886   	35.213135   	-5.579224   	-20.562134  	352.812500  
 648  	37.9472   	34.063107   	-5.966248   	-20.833130  	583.687500  
 649  	38.0059   	32.769409   	-6.288757   	-21.375122  	422.312500  
 650  	38.0645   	31.619381   	-5.256775   	-21.171875  	144.687500  
 651  	38.1232   	30.253782   	-5.256775   	-21.442871  	279.187500  
 652  	38.1818   	28.959959   	-5.127747   	-21.375122  	567.687500  
 653  	38.2405   	28.169310   	-6.095276   	-20.426636  	468.937500  
 654  	38.2991   	26.660032   	-5.901733   	-20.697632  	186.312500  
 655  	38.3578   	26.084959   	-6.095276   	-20.426636  	215.437500  
 656  	38.4164   	24.647459   	-6.159729   	-20.629883  	510.437500  
 657  	38.4751   	24.072508   	-6.353271   	-21.036377  	535.687500  
 658  	38.5337   	22.347534   	-6.482239   	-21.375122  	223.062500  
 659  	38.5924   	20.334959   	-6.611267   	-21.781616  	171.687500  
 660  	38.6510   	18.250610   	-6.030762   	-21.510620  	448.562500  
 661  	38.7097   	17.459961   	-5.837219   	-21.646118  	568.812500  
 662  	38.7683   	15.734984   	-5.708252   	-21.239624  	294.437500  
 663  	38.8270   	14.513062   	-5.063232   	-21.307373  	138.437500  
 664  	38.8856   	11.925659   	-4.934265   	-20.833130  	380.562500  
 665  	38.9443   	11.063109   	-5.966248   	-20.765381  	573.812500  
 666  	39.0029   	9.769408    	-4.611755   	-20.223389  	371.562500  
 667  	39.0616   	8.475585    	-5.708252   	-21.036377  	136.437500  
 668  	39.1202   	7.397460    	-6.288757   	-20.833130  	319.937500  
 669  	39.1789   	5.959960    	-6.353271   	-21.375122  	565.437500  
 670  	39.2375   	4.306885    	-6.482239   	-21.375122  	458.062500  
 671  	39.2962   	2.581909    	-6.159729   	-21.713867  	162.562500  
 672  	39.3548   	0.928711    	-6.546753   	-21.781616  	244.812500  
 673  	39.4135   	-0.580688   	-5.643738   	-21.171875  	538.937500  
 674  	39.4721   	-2.377563   	-5.708252   	-21.375122  	506.062500  
 675  	39.5308   	-4.030640   	-6.288757   	-21.578369  	209.187500  
 676  	39.5894   	-6.186889   	-6.095276   	-20.968628  	186.437500  
 677  	39.6481   	-7.983764   	-5.579224   	-20.291138  	474.437500  
 678  	39.7067   	-10.858764  	-5.837219   	-21.510620  	551.562500  
 679  	39.7654   	-14.236876  	-5.321228   	-21.307373  	245.937500  
 680  	39.8240   	-15.602538  	-5.192261   	-21.713867  	146.312500  
 681  	39.8827   	-18.549376  	-4.869751   	-22.323608  	405.937500  
 682  	39.9413   	-19.843140  	-5.385742   	-21.510620  	573.312500  
 683  	40.0000   	-20.849363  	-6.288757   	-21.171875  	166.937500  
 684  	40.0587   	-23.149414  	-5.450256   	-21.375122  	130.937500  
 685  	40.1173   	-25.305662  	-5.256775   	-20.697632  	68.562500   
 686  	40.1760   	-25.952513  	-5.192261   	-20.900879  	433.437500  
 687  	40.2346   	-28.252501  	-4.998779   	-20.494385  	531.187500  
 688  	40.2933   	-29.690002  	-5.901733   	-20.900879  	275.187500  
 689  	40.3519   	-31.918152  	-5.901733   	-20.697632  	142.312500  
 690  	40.4106   	-32.924374  	-6.030762   	-21.036377  	417.812500  
 691  	40.4692   	-34.936886  	-6.482239   	-21.036377  	578.687500  
 692  	40.5279   	-35.943111  	-6.417725   	-20.968628  	380.062500  
 693  	40.5865   	-38.171265  	-5.966248   	-21.442871  	138.562500  
 694  	40.6452   	-39.393124  	-6.224243   	-21.442871  	328.687500  
 695  	40.7038   	-41.549374  	-6.224243   	-20.900879  	585.312500  
 696  	40.7625   	-43.058777  	-5.966248   	-21.104126  	430.562500  
 697  	40.8211   	-43.993160  	-6.353271   	-21.239624  	154.437500  
 698  	40.8798   	-44.927486  	-6.353271   	-20.968628  	272.562500  
 699  	40.9384   	-44.999386  	-6.030762   	-21.578369  	547.437500  
 700  	40.9971   	-46.149410  	-6.095276   	-21.781616  	511.062500  
 701  	41.0557   	-46.508785  	-5.385742   	-21.104126  	201.062500  
 702  	41.1144   	-47.658749  	-6.159729   	-21.171875  	200.562500  
 703  	41.1730   	-48.521236  	-6.998230   	-21.171875  	493.062500  
 704  	41.2317   	-49.599361  	-6.611267   	-21.171875  	553.687500  
 705  	41.2903   	-51.827511  	-6.288757   	-20.968628  	253.562500  
 706  	41.3490   	-53.336910  	-6.095276   	-21.239624  	167.312500  
 707  	41.4076   	-54.846249  	-5.837219   	-20.833130  	435.437500  
 708  	41.4663   	-55.924377  	-6.159729   	-21.239624  	570.437500  
 709  	41.5249   	-57.864990  	-6.095276   	-21.171875  	316.562500  
 710  	41.5836   	-58.296265  	-6.095276   	-21.375122  	130.312500  
 711  	41.6422   	-60.596252  	-5.901733   	-20.155640  	369.687500  
 712  	41.7009   	-60.739986  	-5.966248   	-20.765381  	575.937500  
 713  	41.7595   	-61.243160  	-5.385742   	-21.510620  	417.312500  
 714  	41.8182   	-63.040031  	-4.934265   	-21.239624  	148.312500  
 715  	41.8768   	-64.405632  	-5.643738   	-21.510620  	295.437500  
 716  	41.9355   	-65.196289  	-6.095276   	-21.171875  	563.062500  
 717  	41.9941   	-67.568115  	-5.643738   	-21.646118  	477.687500  
 718  	42.0528   	-67.568115  	-5.643738   	-21.510620  	181.937500  
 719  	42.1114   	-67.927483  	-5.450256   	-21.917114  	211.687500  
 720  	42.1701   	-68.718132  	-5.643738   	-21.781616  	523.562500  
 721  	42.2287   	-69.724358  	-6.030762   	-21.713867  	526.312500  
 722  	42.2874   	-71.090019  	-6.095276   	-21.442871  	202.062500  
 723  	42.3460   	-71.090019  	-5.837219   	-21.984863  	249.687500  
 724  	42.4047   	-72.311882  	-6.095276   	-22.052612  	496.312500  
 725  	42.4633   	-72.599358  	-6.159729   	-21.171875  	527.437500  
 726  	42.5220   	-73.605652  	-5.579224   	-21.375122  	244.062500  
 727  	42.5806   	-73.461906  	-5.321228   	-21.239624  	197.187500  
 728  	42.6393   	-73.605652  	-5.192261   	-21.104126  	448.062500  
 729  	42.6979   	-74.540039  	-5.127747   	-20.900879  	552.937500  
 730  	42.7566   	-74.252502  	-5.063232   	-21.104126  	311.937500  
 731  	42.8152   	-75.043144  	-5.385742   	-20.629883  	170.437500  
 732  	42.8739   	-75.402519  	-5.772766   	-20.426636  	378.062500  
 733  	42.9326   	-76.911858  	-6.030762   	-20.291138  	556.437500  
 734  	42.9912   	-76.983757  	-6.030762   	-21.104126  	385.812500  
 735  	43.0499   	-77.055656  	-6.482239   	-21.849365  	157.562500  
 736  	43.1085   	-78.636902  	-6.675720   	-21.510620  	309.562500  
 737  	43.1672   	-78.421257  	-6.224243   	-21.646118  	542.187500  
 738  	43.2258   	-79.140007  	-6.933777   	-21.104126  	456.062500  
 739  	43.2845   	-79.068108  	-6.546753   	-20.900879  	184.812500  
 740  	43.3431   	-79.786865  	-5.966248   	-20.833130  	248.937500  
 741  	43.4018   	-79.786865  	-6.159729   	-20.900879  	506.937500  
 742  	43.4604   	-80.074394  	-5.772766   	-21.375122  	488.062500  
 743  	43.5191   	-80.433769  	-5.579224   	-21.442871  	221.062500  
 744  	43.5777   	-80.649414  	-5.450256   	-21.984863  	205.812500  
 745  	43.6364   	-80.074394  	-5.256775   	-22.526855  	474.437500  
 746  	43.6950   	-79.571289  	-4.740723   	-22.391357  	540.312500  
 747  	43.7537   	-80.146240  	-5.708252   	-21.646118  	286.562500  
 748  	43.8123   	-79.930664  	-5.772766   	-21.171875  	175.437500  
 749  	43.8710   	-80.074394  	-6.159729   	-21.171875  	404.187500  
 750  	43.9296   	-80.505615  	-6.095276   	-21.578369  	555.687500  
 751  	43.9883   	-80.577515  	-5.643738   	-21.578369  	335.437500  
 752  	44.0469   	-79.786865  	-5.901733   	-21.781616  	-64.062500  
 753  	44.1056   	-80.577515  	-5.643738   	-21.849365  	42.312500   
 754  	44.1642   	-80.577515  	-5.063232   	-21.036377  	352.187500  
 755  	44.2229   	-81.296257  	-5.127747   	-21.442871  	478.562500  
 756  	44.2815   	-81.583733  	-5.192261   	-21.239624  	254.812500  
 757  	44.3402   	-81.943108  	-5.643738   	-21.036377  	142.562500  
 758  	44.3988   	-81.943108  	-6.288757   	-20.968628  	394.187500  
 759  	44.4575   	-82.661858  	-6.546753   	-21.307373  	560.812500  
 760  	44.5161   	-83.236877  	-6.740234   	-21.375122  	358.812500  
 761  	44.5748   	-82.302483  	-5.643738   	-21.510620  	166.187500  
 762  	44.6334   	-81.583733  	-5.385742   	-21.849365  	325.437500  
