
      	X(nS)     	Ch1(mV)      
 191  	11.1437   	137.984314  
 192  	11.2023   	137.696838  
 193  	11.2610   	137.481140  
 194  	11.3196   	137.696838  
 195  	11.3783   	137.840515  
 196  	11.4370   	137.984314  
 197  	11.4956   	136.906189  
 198  	11.5543   	137.768738  
 199  	11.6129   	138.846863  
 200  	11.6716   	138.487488  
 201  	11.7302   	138.774963  
 202  	11.7889   	139.565613  
 203  	11.8475   	138.918640  
 204  	11.9062   	139.134338  
 205  	11.9648   	138.487488  
 206  	12.0235   	138.271790  
 207  	12.0821   	138.487488  
 208  	12.1408   	138.056213  
 209  	12.1994   	138.271790  
 210  	12.2581   	139.637390  
 211  	12.3167   	139.421814  
 212  	12.3754   	139.709290  
 213  	12.4340   	139.062439  
 214  	12.4927   	139.206238  
 215  	12.5513   	138.415588  
 216  	12.6100   	138.128113  
 217  	12.6686   	138.056213  
 218  	12.7273   	138.846863  
 219  	12.7859   	139.565613  
 220  	12.8446   	138.774963  
 221  	12.9032   	138.343689  
 222  	12.9619   	138.846863  
 223  	13.0205   	138.415588  
 224  	13.0792   	138.487488  
 225  	13.1378   	138.487488  
 226  	13.1965   	138.199890  
 227  	13.2551   	138.631165  
 228  	13.3138   	138.846863  
 229  	13.3724   	138.415588  
 230  	13.4311   	137.624939  
 231  	13.4897   	137.984314  
 232  	13.5484   	137.840515  
 233  	13.6070   	138.846863  
 234  	13.6657   	139.853088  
 235  	13.7243   	138.559265  
 236  	13.7830   	138.487488  
 237  	13.8416   	138.487488  
 238  	13.9003   	137.768738  
 239  	13.9589   	137.337463  
 240  	14.0176   	137.696838  
 241  	14.0762   	138.128113  
 242  	14.1349   	138.343689  
 243  	14.1935   	138.846863  
 244  	14.2522   	138.631165  
 245  	14.3109   	136.978088  
 246  	14.3695   	136.187439  
 247  	14.4282   	136.762390  
 248  	14.4868   	136.834290  
 249  	14.5455   	136.978088  
 250  	14.6041   	136.331238  
 251  	14.6628   	136.187439  
 252  	14.7214   	135.324890  
 253  	14.7801   	135.181213  
 254  	14.8387   	135.468689  
 255  	14.8974   	135.684265  
 256  	14.9560   	135.756165  
 257  	15.0147   	136.043640  
 258  	15.0733   	136.043640  
 259  	15.1320   	135.324890  
 260  	15.1906   	135.612488  
