
      	X(nS)     	Ch1(mV)      
 194  	11.3196   	139.333069  
 195  	11.3783   	139.391403  
 196  	11.4370   	139.514465  
 197  	11.4956   	139.388733  
 198  	11.5543   	139.317917  
 199  	11.6129   	139.139938  
 200  	11.6716   	139.064621  
 201  	11.7302   	138.758118  
 202  	11.7889   	138.771545  
 203  	11.8475   	138.802429  
 204  	11.9062   	138.814743  
 205  	11.9648   	138.802429  
 206  	12.0235   	138.778870  
 207  	12.0821   	138.718201  
 208  	12.1408   	138.709778  
 209  	12.1994   	138.606506  
 210  	12.2581   	138.448654  
 211  	12.3167   	138.277878  
 212  	12.3754   	138.216736  
 213  	12.4340   	137.961838  
 214  	12.4927   	137.781052  
 215  	12.5513   	137.527771  
 216  	12.6100   	137.496399  
 217  	12.6686   	137.398621  
 218  	12.7273   	137.263840  
 219  	12.7859   	137.157761  
 220  	12.8446   	137.028015  
 221  	12.9032   	136.787170  
 222  	12.9619   	136.582687  
 223  	13.0205   	136.397995  
 224  	13.0792   	136.309875  
 225  	13.1378   	136.123962  
 226  	13.1965   	136.026794  
 227  	13.2551   	135.778137  
 228  	13.3138   	135.564758  
 229  	13.3724   	135.360291  
 230  	13.4311   	135.231750  
 231  	13.4897   	135.138489  
 232  	13.5484   	135.077209  
 233  	13.6070   	134.994202  
 234  	13.6657   	134.984680  
 235  	13.7243   	134.943054  
 236  	13.7830   	134.903748  
 237  	13.8416   	134.876770  
 238  	13.9003   	134.721252  
 239  	13.9589   	134.617981  
 240  	14.0176   	134.592102  
 241  	14.0762   	134.705002  
 242  	14.1349   	134.753845  
 243  	14.1935   	134.972839  
 244  	14.2522   	135.051437  
 245  	14.3109   	135.144577  
 246  	14.3695   	135.177307  
 247  	14.4282   	135.193542  
 248  	14.4868   	135.226608  
 249  	14.5455   	135.201355  
 250  	14.6041   	135.177780  
 251  	14.6628   	135.118225  
 252  	14.7214   	134.992981  
 253  	14.7801   	134.866150  
 254  	14.8387   	134.872375  
 255  	14.8974   	134.894226  
 256  	14.9560   	134.981262  
 257  	15.0147   	135.122131  
 258  	15.0733   	135.354065  
 259  	15.1320   	135.563049  
 260  	15.1906   	135.612961  
 261  	15.2493   	135.541672  
 262  	15.3079   	135.490540  
 263  	15.3666   	135.432190  
 264  	15.4252   	135.390686  
 265  	15.4839   	135.362610  
 266  	15.5425   	135.355759  
