
      	X(nS)     	Ch1(mV)      
 187  	9.0909    	-19.135010  
 188  	9.1398    	-19.092346  
 189  	9.1887    	-19.130554  
 190  	9.2375    	-19.307983  
 191  	9.2864    	-19.359619  
 192  	9.3353    	-19.161987  
 193  	9.3842    	-19.135010  
 194  	9.4330    	-19.173218  
 195  	9.4819    	-19.287781  
 196  	9.5308    	-19.346191  
 197  	9.5797    	-19.436035  
 198  	9.6285    	-19.357422  
 199  	9.6774    	-19.366394  
 200  	9.7263    	-19.492188  
 201  	9.7752    	-19.476440  
 202  	9.8240    	-19.391113  
 203  	9.8729    	-19.305725  
 204  	9.9218    	-19.236084  
 205  	9.9707    	-19.211426  
 206  	10.0196   	-19.146240  
 207  	10.0684   	-19.168701  
 208  	10.1173   	-19.188965  
 209  	10.1662   	-19.161987  
 210  	10.2151   	-19.206909  
 211  	10.2639   	-19.058655  
 212  	10.3128   	-19.184446  
 213  	10.3617   	-19.314697  
 214  	10.4106   	-19.188965  
 215  	10.4594   	-19.175476  
 216  	10.5083   	-19.361877  
 217  	10.5572   	-19.263062  
 218  	10.6061   	-19.195679  
 219  	10.6549   	-19.213623  
 220  	10.7038   	-19.283264  
 221  	10.7527   	-19.211426  
 222  	10.8016   	-19.139526  
 223  	10.8504   	-19.231628  
 224  	10.8993   	-19.388855  
 225  	10.9482   	-19.330444  
 226  	10.9971   	-19.382080  
 227  	11.0459   	-19.406799  
 228  	11.0948   	-19.256348  
 229  	11.1437   	-19.222656  
 230  	11.1926   	-19.227112  
 231  	11.2414   	-19.316956  
 232  	11.2903   	-19.366394  
 233  	11.3392   	-19.393311  
 234  	11.3881   	-19.386597  
 235  	11.4370   	-19.370850  
 236  	11.4858   	-19.422546  
 237  	11.5347   	-19.483154  
 238  	11.5836   	-19.543823  
 239  	11.6325   	-19.476440  
 240  	11.6813   	-19.604492  
 241  	11.7302   	-19.570799  
 242  	11.7791   	-19.525879  
 243  	11.8280   	-19.462952  
 244  	11.8768   	-19.332703  
 245  	11.9257   	-19.404541  
 246  	11.9746   	-19.299011  
 247  	12.0235   	-19.364136  
 248  	12.0723   	-19.465210  
 249  	12.1212   	-19.503418  
 250  	12.1701   	-19.599976  
 251  	12.2190   	-19.483154  
 252  	12.2678   	-19.451721  
 253  	12.3167   	-19.586487  
 254  	12.3656   	-19.368652  
 255  	12.4145   	-19.348389  
 256  	12.4633   	-19.447266  
 257  	12.5122   	-19.343933  
 258  	12.5611   	-19.453979  
 259  	12.6100   	-19.579773  
 260  	12.6588   	-19.593262  
 261  	12.7077   	-19.649414  
 262  	12.7566   	-19.361877  
 263  	12.8055   	-19.274292  
 264  	12.8544   	-19.267578  
 265  	12.9032   	-19.224854  
 266  	12.9521   	-19.193420  
 267  	13.0010   	-19.258545  
 268  	13.0499   	-19.462952  
 269  	13.0987   	-19.391113  
 270  	13.1476   	-19.083374  
 271  	13.1965   	-19.170959  
 272  	13.2454   	-19.087891  
 273  	13.2942   	-19.054199  
 274  	13.3431   	-19.139526  
 275  	13.3920   	-19.065430  
 276  	13.4409   	-18.905945  
 277  	13.4897   	-18.858765  
 278  	13.5386   	-18.935120  
 279  	13.5875   	-18.800354  
 280  	13.6364   	-18.753174  
 281  	13.6852   	-18.578003  
 282  	13.7341   	-18.732971  
 283  	13.7830   	-18.755432  
 284  	13.8319   	-18.688049  
 285  	13.8807   	-18.737488  
 286  	13.9296   	-18.613953  
 287  	13.9785   	-18.683594  
 288  	14.0274   	-18.506104  
 289  	14.0762   	-18.566772  
 290  	14.1251   	-18.706055  
 291  	14.1740   	-18.784668  
 292  	14.2229   	-18.759949  
 293  	14.2718   	-18.670105  
 294  	14.3206   	-18.544312  
 295  	14.3695   	-18.593750  
 296  	14.4184   	-18.793640  
 297  	14.4673   	-18.694824  
 298  	14.5161   	-18.719482  
 299  	14.5650   	-18.840820  
 300  	14.6139   	-18.894714  
 301  	14.6628   	-18.762207  
 302  	14.7116   	-18.890198  
 303  	14.7605   	-18.899170  
 304  	14.8094   	-18.784668  
 305  	14.8583   	-18.923889  
 306  	14.9071   	-18.912659  
 307  	14.9560   	-18.959839  
 308  	15.0049   	-19.042969  
 309  	15.0538   	-18.946350  
 310  	15.1026   	-18.921631  
 311  	15.1515   	-19.119324  
 312  	15.2004   	-18.941895  
 313  	15.2493   	-19.139526  
 314  	15.2981   	-19.058655  
 315  	15.3470   	-19.188965  
 316  	15.3959   	-19.141785  
 317  	15.4448   	-19.004761  
 318  	15.4936   	-19.007019  
 319  	15.5425   	-19.000244  
 320  	15.5914   	-18.971069  
 321  	15.6403   	-18.973328  
 322  	15.6892   	-18.932861  
 323  	15.7380   	-18.946350  
 324  	15.7869   	-18.908203  
 325  	15.8358   	-18.950867  
 326  	15.8847   	-18.957581  
 327  	15.9335   	-18.914917  
 328  	15.9824   	-18.941895  
 329  	16.0313   	-18.905945  
 330  	16.0802   	-18.953125  
 331  	16.1290   	-18.890198  
 332  	16.1779   	-19.047424  
 333  	16.2268   	-18.962097  
 334  	16.2757   	-18.993530  
 335  	16.3245   	-18.964355  
 336  	16.3734   	-18.989012  
 337  	16.4223   	-19.099121  
 338  	16.4712   	-19.094604  
 339  	16.5200   	-19.029480  
 340  	16.5689   	-19.040710  
 341  	16.6178   	-19.101318  
 342  	16.6667   	-19.193420  
 343  	16.7155   	-19.220398  
 344  	16.7644   	-19.166504  
 345  	16.8133   	-19.281006  
 346  	16.8622   	-19.281006  
 347  	16.9110   	-19.211426  
 348  	16.9599   	-19.123779  
 349  	17.0088   	-19.018250  
 350  	17.0577   	-18.982300  
 351  	17.1066   	-19.085632  
 352  	17.1554   	-18.914917  
 353  	17.2043   	-18.764404  
 354  	17.2532   	-18.818359  
 355  	17.3021   	-18.818359  
 356  	17.3509   	-18.807129  
 357  	17.3998   	-18.688049  
 358  	17.4487   	-19.020508  
 359  	17.4976   	-18.816101  
 360  	17.5464   	-18.728516  
 361  	17.5953   	-18.775635  
 362  	17.6442   	-18.777893  
 363  	17.6931   	-18.694824  
 364  	17.7419   	-18.717285  
 365  	17.7908   	-18.739746  
 366  	17.8397   	-18.710510  
 367  	17.8886   	-18.852051  
 368  	17.9374   	-18.878967  
 369  	17.9863   	-19.009277  
 370  	18.0352   	-18.926147  
 371  	18.0841   	-18.975586  
 372  	18.1329   	-18.989012  
 373  	18.1818   	-18.867737  
 374  	18.2307   	-18.858765  
 375  	18.2796   	-18.807129  
 376  	18.3284   	-18.811584  
 377  	18.3773   	-18.840820  
 378  	18.4262   	-18.921631  
 379  	18.4751   	-18.984558  
 380  	18.5239   	-18.962097  
 381  	18.5728   	-18.845276  
 382  	18.6217   	-18.856506  
 383  	18.6706   	-18.948608  
 384  	18.7195   	-18.973328  
 385  	18.7683   	-18.910400  
 386  	18.8172   	-18.861023  
 387  	18.8661   	-18.759949  
 388  	18.9150   	-18.843018  
 389  	18.9638   	-18.820557  
 390  	19.0127   	-18.908203  
 391  	19.0616   	-18.914917  
 392  	19.1105   	-18.995789  
 393  	19.1593   	-18.818359  
 394  	19.2082   	-18.856506  
 395  	19.2571   	-18.878967  
 396  	19.3060   	-18.719482  
 397  	19.3548   	-18.771179  
 398  	19.4037   	-18.950867  
 399  	19.4526   	-19.011475  
 400  	19.5015   	-18.780151  
 401  	19.5503   	-18.928406  
 402  	19.5992   	-19.031738  
 403  	19.6481   	-18.908203  
 404  	19.6970   	-18.843018  
 405  	19.7458   	-18.903687  
 406  	19.7947   	-19.027222  
 407  	19.8436   	-18.964355  
 408  	19.8925   	-19.056396  
 409  	19.9413   	-19.186705  
 410  	19.9902   	-19.045166  
 411  	20.0391   	-18.950867  
 412  	20.0880   	-19.072144  
 413  	20.1369   	-19.130554  
 414  	20.1857   	-19.141785  
 415  	20.2346   	-19.123779  
 416  	20.2835   	-19.323730  
 417  	20.3324   	-19.339417  
 418  	20.3812   	-19.278809  
 419  	20.4301   	-19.029480  
 420  	20.4790   	-19.121582  
 421  	20.5279   	-19.029480  
 422  	20.5767   	-19.009277  
 423  	20.6256   	-18.762207  
 424  	20.6745   	-18.887939  
 425  	20.7234   	-19.094604  
 426  	20.7722   	-19.045166  
 427  	20.8211   	-18.991270  
 428  	20.8700   	-19.056396  
 429  	20.9189   	-19.063171  
 430  	20.9677   	-18.953125  
 431  	21.0166   	-18.802612  
 432  	21.0655   	-18.719482  
 433  	21.1144   	-18.766663  
 434  	21.1632   	-18.820557  
 435  	21.2121   	-18.708252  
 436  	21.2610   	-18.894714  
 437  	21.3099   	-18.849792  
 438  	21.3587   	-19.087891  
 439  	21.4076   	-18.746460  
 440  	21.4565   	-18.892456  
 441  	21.5054   	-18.703796  
 442  	21.5543   	-18.732971  
 443  	21.6031   	-18.793640  
 444  	21.6520   	-18.845276  
 445  	21.7009   	-18.753174  
 446  	21.7498   	-18.780151  
 447  	21.7986   	-18.739746  
 448  	21.8475   	-18.649902  
 449  	21.8964   	-18.530823  
 450  	21.9453   	-18.690308  
 451  	21.9941   	-18.602722  
 452  	22.0430   	-18.609436  
 453  	22.0919   	-18.618408  
 454  	22.1408   	-18.750977  
 455  	22.1896   	-18.465698  
 456  	22.2385   	-18.649902  
 457  	22.2874   	-18.699280  
 458  	22.3363   	-18.737488  
 459  	22.3851   	-18.759949  
 460  	22.4340   	-18.762207  
 461  	22.4829   	-18.840820  
 462  	22.5318   	-18.800354  
 463  	22.5806   	-18.867737  
 464  	22.6295   	-18.813843  
 465  	22.6784   	-18.607178  
 466  	22.7273   	-18.737488  
 467  	22.7761   	-18.699280  
 468  	22.8250   	-18.600464  
 469  	22.8739   	-18.519592  
 470  	22.9228   	-18.470215  
 471  	22.9717   	-18.485901  
 472  	23.0205   	-18.425293  
 473  	23.0694   	-18.414063  
 474  	23.1183   	-18.326416  
 475  	23.1672   	-18.292725  
 476  	23.2160   	-18.259033  
 477  	23.2649   	-18.418518  
 478  	23.3138   	-18.432007  
 479  	23.3627   	-18.463440  
 480  	23.4115   	-18.467957  
 481  	23.4604   	-18.434265  
 482  	23.5093   	-18.485901  
 483  	23.5582   	-18.436523  
 484  	23.6070   	-18.364624  
 485  	23.6559   	-18.344421  
 486  	23.7048   	-18.133301  
 487  	23.7537   	-18.072632  
 488  	23.8025   	-18.196167  
 489  	23.8514   	-18.041199  
 490  	23.9003   	-18.032227  
 491  	23.9492   	-18.106323  
 492  	23.9980   	-17.881714  
 493  	24.0469   	-17.906433  
 494  	24.0958   	-17.919922  
 495  	24.1447   	-18.002991  
 496  	24.1935   	-17.875000  
 497  	24.2424   	-17.812073  
 498  	24.2913   	-17.933350  
 499  	24.3402   	-18.025452  
 500  	24.3891   	-18.086121  
 501  	24.4379   	-17.836792  
 502  	24.4868   	-17.890686  
 503  	24.5357   	-17.967041  
 504  	24.5846   	-18.137756  
 505  	24.6334   	-18.200684  
 506  	24.6823   	-18.029968  
 507  	24.7312   	-17.960327  
 508  	24.7801   	-17.686279  
 509  	24.8289   	-17.715515  
 510  	24.8778   	-17.470703  
 511  	24.9267   	-17.504395  
 512  	24.9756   	-17.270752  
 513  	25.0244   	-17.122559  
 514  	25.0733   	-16.897949  
 515  	25.1222   	-16.720459  
 516  	25.1711   	-16.493652  
 517  	25.2199   	-16.075867  
 518  	25.2688   	-15.512085  
 519  	25.3177   	-14.741699  
 520  	25.3666   	-13.683776  
